Date,Close,Eps,FedFundsRate
2020-04-30,2912.43,119.91,0.09
2020-05-01,2830.71,119.13,0.1
2020-05-04,2842.74,119.13,0.1
2020-05-05,2868.44,119.13,0.1
2020-05-06,2848.42,119.13,0.1
2020-05-07,2881.19,119.13,0.1
2020-05-08,2929.8,119.13,0.1
2020-05-11,2930.19,119.13,0.1
2020-05-12,2870.12,119.13,0.1
2020-05-13,2820.0,119.13,0.1
2020-05-14,2852.5,119.13,0.1
2020-05-15,2863.7,119.13,0.1
2020-05-18,2953.91,119.13,0.1
2020-05-19,2922.94,119.13,0.1
2020-05-20,2971.61,119.13,0.1
2020-05-21,2948.51,119.13,0.1
2020-05-22,2955.45,119.13,0.1
2020-05-26,2991.77,119.13,0.1
2020-05-27,3036.13,119.13,0.1
2020-05-28,3029.73,119.13,0.1
2020-05-29,3044.31,119.13,0.1
2020-06-01,3055.73,118.56,0.09
2020-06-02,3080.82,118.56,0.09
2020-06-03,3122.87,118.56,0.09
2020-06-04,3112.35,118.56,0.09
2020-06-05,3193.93,118.56,0.09
2020-06-08,3232.39,118.56,0.09
2020-06-09,3207.18,118.56,0.09
2020-06-10,3190.14,118.56,0.09
2020-06-11,3002.1,118.56,0.09
2020-06-12,3041.31,118.56,0.09
2020-06-15,3066.59,118.56,0.09
2020-06-16,3124.74,118.56,0.09
2020-06-17,3113.49,118.56,0.09
2020-06-18,3115.34,118.56,0.09
2020-06-19,3097.74,118.56,0.09
2020-06-22,3117.86,118.56,0.09
2020-06-23,3131.29,118.56,0.09
2020-06-24,3050.33,118.56,0.09
2020-06-25,3083.76,118.56,0.09
2020-06-26,3009.05,118.56,0.09
2020-06-29,3053.24,118.56,0.09
2020-06-30,3100.29,118.56,0.09
2020-07-01,3115.86,116.86,0.09
2020-07-02,3130.01,116.86,0.09
2020-07-06,3179.72,116.86,0.09
2020-07-07,3145.32,116.86,0.09
2020-07-08,3169.94,116.86,0.09
2020-07-09,3152.05,116.86,0.09
2020-07-10,3185.04,116.86,0.09
2020-07-13,3155.22,116.86,0.09
2020-07-14,3197.52,116.86,0.09
2020-07-15,3226.56,116.86,0.09
2020-07-16,3215.57,116.86,0.09
2020-07-17,3224.73,116.86,0.09
2020-07-20,3251.84,116.86,0.09
2020-07-21,3257.3,116.86,0.09
2020-07-22,3276.02,116.86,0.09
2020-07-23,3235.66,116.86,0.09
2020-07-24,3215.63,116.86,0.09
2020-07-27,3239.41,116.86,0.09
2020-07-28,3218.44,116.86,0.09
2020-07-29,3258.44,116.86,0.09
2020-07-30,3246.22,116.86,0.09
2020-07-31,3271.12,116.86,0.09
2020-08-03,3294.61,115.29,0.09
2020-08-04,3306.51,115.29,0.09
2020-08-05,3327.77,115.29,0.09
2020-08-06,3349.16,115.29,0.09
2020-08-07,3351.28,115.29,0.09
2020-08-10,3360.47,115.29,0.09
2020-08-11,3333.69,115.29,0.09
2020-08-12,3380.35,115.29,0.09
2020-08-13,3373.43,115.29,0.09
2020-08-14,3372.85,115.29,0.09
2020-08-17,3381.99,115.29,0.09
2020-08-18,3389.78,115.29,0.09
2020-08-19,3374.85,115.29,0.09
2020-08-20,3385.51,115.29,0.09
2020-08-21,3397.16,115.29,0.09
2020-08-24,3431.28,115.29,0.09
2020-08-25,3443.62,115.29,0.09
2020-08-26,3478.73,115.29,0.09
2020-08-27,3484.55,115.29,0.09
2020-08-28,3508.01,115.29,0.09
2020-08-31,3500.31,115.29,0.09
2020-09-01,3526.65,113.54,0.09
2020-09-02,3580.84,113.54,0.09
2020-09-03,3455.06,113.54,0.09
2020-09-04,3426.96,113.54,0.09
2020-09-08,3331.84,113.54,0.09
